Country;calcio;colesterol;fibra;fruta;Legumes;leite;carneVermelha;vegetais;graos
Afghanistan;0;0,5;-0,47;-0,7;0,3;-0,4;0,9;0,3;-0,3
Albania;0;-0,1;0,57;-0,3;-0,5;0,8;0,2;-0,1;-0,4
Algeria;0;-3,1;-0,03;-0,4;-0,5;1;-1,9;0,4;-0,3
Andorra;1;-0,6;-0,34;0,9;-0,6;0,4;-0,5;0,1;-0,4
Angola;0;0;0,8;-0,5;0,9;0,4;-1,3;-0,5;-0,4
Antigua and Barbuda;1;-1,2;-0,95;1,3;-0,6;1,2;0,3;-0,4;-0,4
Argentina;0;-0,4;-1,28;-0,4;-0,7;-0,1;-1,7;-0,4;-0,5
Armenia;0;-0,7;-1,19;-0,8;-0,7;-0,3;0,8;-1,1;-0,5
Australia;1;-0,8;0,2;0,4;-0,3;0,4;-1,2;-0,2;-0,4
Austria;1;-1,6;-0,29;1,1;-0,7;-0,2;-0,6;0,1;-0,4
Azerbaijan;0;-0,5;-0,58;-0,7;-0,7;-0,3;1;-0,8;-0,2
Bahamas;1;-1,2;-0,17;1,5;-0,6;0,4;-0,6;-0,2;0,3
Bahrain;0;0,1;-1,01;0,6;-0,5;0,3;-1;0,9;0,1
Bangladesh;-1;2,7;2,63;-1;0,1;-1;1,2;1,6;-0,3
Barbados;0;-0,4;1;1,8;-0,6;-0,2;-0,6;0,1;0
Belarus;1;-1,9;-0,62;-0,9;-0,7;0,3;-0,1;-1;0,2
Belgium;1;-1,3;-0,29;0,3;-0,7;-0,5;-0,8;-0,5;-0,5
Belize;1;-1,5;0,12;0,7;-0,4;0,4;0,5;-0,6;0,2
Benin;-1;0,8;1,57;0,5;0,6;-0,9;0,9;-0,3;0,5
Bhutan;-1;2,2;0,69;-0,4;-0,3;-0,7;1,4;2,5;-0,2
Bolivia;0;-0,6;0,84;0,2;-0,1;-0,5;-1,5;-0,6;0,5
Bosnia and Herzegovina;0;0,6;0,72;-1,1;-0,3;1,5;0,2;-1,1;-0,4
Botswana;0;-0,5;1,32;-1,4;4,8;1,4;0,1;-0,8;-0,6
Brazil;0;-0,7;0,4;-0,3;2;-0,3;-1,6;-1,2;-0,5
Brunei Darussalam;0;-0,4;-0,63;0,6;-0,4;0,1;0,5;0,6;-0,4
Bulgaria;0;0,2;0,48;-0,3;-0,6;0,3;0,3;0,5;-0,4
Burkina Faso;-1;0,4;1,49;-1;0,3;-0,6;0,6;-0,1;0,1
Burundi;-1;1,4;1,61;-0,8;1,4;-1;1,2;0;-0,4
Cambodia;-1;1;-1,09;-0,2;-0,6;-1;0,7;0,1;4,2
Cameroon;-1;1,1;1,51;-1,4;0,7;-0,6;0,3;-1,3;0,7
Canada;1;-0,6;-0,54;0,4;-0,6;0,4;-0,2;0,6;0,1
Cape Verde;0;-1,2;0,13;0,3;0,4;0,6;-0,7;0,1;-0,4
Central African Republic;-1;0,1;2,26;-0,8;0;0,2;-2,5;-0,6;0,9
Chad;-1;1,1;2,15;-0,6;1;-0,3;0,1;-0,4;1,2
Chile;-1;-0,2;-1,01;-0,2;-0,4;-0,4;-0,7;-0,3;-0,5
China;-2;0,7;-1,76;-1,4;-0,5;-1,1;0;2;-0,4
Colombia;0;-0,2;0,6;0,8;1,2;0,8;-1,5;-0,4;-0,3
Comoros;-1;1,2;1,15;-0,4;1,3;-0,9;1,2;-0,4;-0,4
Congo;-1;0,9;0,53;-1,1;0,6;-0,1;-0,3;-1,1;-0,5
Costa Rica;1;-0,1;0,5;1;1,5;1,9;0,4;-0,5;-0,3
Cote d'Ivoire;-1;1,3;1,09;-0,1;-0,3;-0,9;0,6;-0,2;0,8
Croatia;0;-0,8;0,75;0;-0,6;0,4;-0,7;0,2;-0,3
Cuba;1;-0,6;-0,68;0,7;-0,4;0,1;0,4;-0,4;-0,5
Cyprus;1;0,2;0,34;1,3;-0,3;0,4;-1,5;1,5;-0,3
Czech Republic;0;-1;0,56;-0,2;-0,6;-0,4;-0,4;-0,7;-0,4
Democratic People's Republic of Korea;-1;0,8;-1,16;-0,8;-0,4;-1,2;0,7;2,7;-0,5
Democratic Republic of the Congo;-1;1,2;0,79;0;1,1;-1;0,7;0,8;-0,5
Denmark;2;-1,7;-0,31;0,9;-0,7;0,4;-0,6;0,1;-0,4
Djibouti;-1;0,4;0,25;-0,6;0;-0,2;0;0;-0,5
Dominica;1;0,2;-0,21;0,3;-0,6;0,9;0,2;-0,7;0,1
Dominican Republic;1;-0,5;-0,69;0,8;-0,4;0;0,7;-0,5;-0,4
Ecuador;0;-0,7;-0,41;0,7;-0,2;0,4;-0,9;-0,8;-0,5
Egypt;0;0,1;0,38;-0,3;-0,1;-0,1;0,1;1,9;-0,2
El Salvador;0;-0,3;0,81;0,6;1,9;1;0,9;-0,5;-0,2
Equatorial Guinea;-1;0;1,08;-0,1;0,5;0,2;-0,9;-0,5;-0,3
Eritrea;-1;0,9;1,49;-0,9;1,7;-0,8;0,6;-1;-0,2
Estonia;0;-0,9;-0,07;-0,7;-0,7;1,1;-1,4;0,2;0,2
Ethiopia;-1;0,7;1,33;-1,7;1,4;-0,8;0,7;-1,5;-0,3
Fiji;-1;-0,9;-1,56;-0,6;-0,7;-0,5;-0,6;0;-0,3
Finland;2;-0,2;0,05;0,7;-0,7;1,8;-0,2;-0,2;-0,4
France;1;-1,1;-0,58;0,5;-0,6;-0,1;0,5;0,5;-0,5
Gabon;0;-0,1;0,87;0,1;0,5;0,9;-2,2;-0,6;-0,4
Gambia;-1;0,9;1,11;-0,9;0,6;-0,5;0,9;-0,4;0,2
Georgia;0;-0,2;-0,31;-0,8;-0,7;-0,2;1;-1;-0,1
Germany;2;-0,8;0,35;0,7;-0,6;0,1;-1;-0,3;-0,4
Ghana;-1;1,4;0,44;-0,2;-0,1;-1;0,8;-0,4;-0,2
Greece;2;0,6;0,27;2,1;-0,4;0,1;-1,2;3,8;-0,2
Grenada;1;-1;-0,12;1;-0,4;0,8;0,5;-0,5;0
Guatemala;0;0,6;1,31;0,4;2,3;0,2;0,9;-0,4;0,2
Guinea;-1;1,1;0,05;-0,3;0,5;-0,8;1;0,1;-0,4
Guinea-Bissau;-1;1;0,99;-0,5;-0,3;-0,6;-0,2;-0,5;0,7
Guyana;1;0,9;-0,39;0,3;-0,4;0,1;1,3;-0,7;-0,3
