Default_to_Calcium	Diet Factor	Unit	Country	Média de Exposure Mean	Média de negzscore
dietary calcium (mg/day)	dietary calcium	mg/day	Afghanistan	612	0
dietary calcium (mg/day)	dietary calcium	mg/day	Albania	681	0
dietary calcium (mg/day)	dietary calcium	mg/day	Algeria	705	0
dietary calcium (mg/day)	dietary calcium	mg/day	Andorra	940	1
dietary calcium (mg/day)	dietary calcium	mg/day	Angola	550	0
dietary calcium (mg/day)	dietary calcium	mg/day	Antigua and Barbuda	955	1
dietary calcium (mg/day)	dietary calcium	mg/day	Argentina	577	0
dietary calcium (mg/day)	dietary calcium	mg/day	Armenia	701	0
dietary calcium (mg/day)	dietary calcium	mg/day	Australia	788	1
dietary calcium (mg/day)	dietary calcium	mg/day	Austria	827	1
dietary calcium (mg/day)	dietary calcium	mg/day	Azerbaijan	668	0
dietary calcium (mg/day)	dietary calcium	mg/day	Bahamas	873	1
dietary calcium (mg/day)	dietary calcium	mg/day	Bahrain	694	0
dietary calcium (mg/day)	dietary calcium	mg/day	Bangladesh	368	-1
dietary calcium (mg/day)	dietary calcium	mg/day	Barbados	702	0
dietary calcium (mg/day)	dietary calcium	mg/day	Belarus	796	1
dietary calcium (mg/day)	dietary calcium	mg/day	Belgium	814	1
dietary calcium (mg/day)	dietary calcium	mg/day	Belize	873	1
dietary calcium (mg/day)	dietary calcium	mg/day	Benin	441	-1
dietary calcium (mg/day)	dietary calcium	mg/day	Bhutan	455	-1
dietary calcium (mg/day)	dietary calcium	mg/day	Bolivia	613	0
dietary calcium (mg/day)	dietary calcium	mg/day	Bosnia and Herzegovina	631	0
dietary calcium (mg/day)	dietary calcium	mg/day	Botswana	556	0
dietary calcium (mg/day)	dietary calcium	mg/day	Brazil	578	0
dietary calcium (mg/day)	dietary calcium	mg/day	Brunei Darussalam	653	0
dietary calcium (mg/day)	dietary calcium	mg/day	Bulgaria	600	0
dietary calcium (mg/day)	dietary calcium	mg/day	Burkina Faso	523	-1
dietary calcium (mg/day)	dietary calcium	mg/day	Burundi	365	-1
dietary calcium (mg/day)	dietary calcium	mg/day	Cambodia	488	-1
dietary calcium (mg/day)	dietary calcium	mg/day	Cameroon	484	-1
dietary calcium (mg/day)	dietary calcium	mg/day	Canada	914	1
dietary calcium (mg/day)	dietary calcium	mg/day	Cape Verde	615	0
dietary calcium (mg/day)	dietary calcium	mg/day	Central African Republic	538	-1
dietary calcium (mg/day)	dietary calcium	mg/day	Chad	531	-1
dietary calcium (mg/day)	dietary calcium	mg/day	Chile	534	-1
dietary calcium (mg/day)	dietary calcium	mg/day	China	326	-2
dietary calcium (mg/day)	dietary calcium	mg/day	Colombia	566	0
dietary calcium (mg/day)	dietary calcium	mg/day	Comoros	400	-1
dietary calcium (mg/day)	dietary calcium	mg/day	Congo	511	-1
dietary calcium (mg/day)	dietary calcium	mg/day	Costa Rica	811	1
dietary calcium (mg/day)	dietary calcium	mg/day	Cote d'Ivoire	437	-1
dietary calcium (mg/day)	dietary calcium	mg/day	Croatia	649	0
dietary calcium (mg/day)	dietary calcium	mg/day	Cuba	837	1
dietary calcium (mg/day)	dietary calcium	mg/day	Cyprus	952	1
dietary calcium (mg/day)	dietary calcium	mg/day	Czech Republic	631	0
dietary calcium (mg/day)	dietary calcium	mg/day	Democratic People's Republic of Korea	399	-1
dietary calcium (mg/day)	dietary calcium	mg/day	Democratic Republic of the Congo	365	-1
dietary calcium (mg/day)	dietary calcium	mg/day	Denmark	1.007	2
dietary calcium (mg/day)	dietary calcium	mg/day	Djibouti	507	-1
dietary calcium (mg/day)	dietary calcium	mg/day	Dominica	925	1
